Район,Тип,Дата и время  пожара 
Кочевский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-22 20:39:00
Краснокамский ГО ,Пожар с гибелью 2-х и более человек ,2015-03-23 00:47:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-23 09:00:00
Кудымкарский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-03-23 11:30:00
Ильинский ГО ,Пожар с гибелью 2-х и более человек ,2015-03-23 16:40:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-03-24 14:50:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-25 00:00:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-03-25 10:55:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-25 12:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-25 16:10:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-03-25 20:10:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-03-25 20:20:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-03-25 21:30:00
Очерский ГО ,Аварии на электроэнергетических системах ,2015-03-25 21:44:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2015-03-25 23:17:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-03-26 09:10:00
Лысьвенский ГО ,Пожар с гибелью 2-х и более человек ,2015-03-26 17:12:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-03-27 19:50:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-29 08:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-03-29 14:50:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-30 07:53:00
Пермский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-03-31 12:02:00
Пермский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-03-31 12:02:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-03-31 14:02:00
Кишертский МО,"Аварии (катастрофы) на автодорогах (на транспорте, перевозящем опасные грузы) ",2015-04-01 12:52:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-02 13:20:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-04-02 18:20:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-03 13:45:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-04-04 04:10:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-04-04 06:50:00
Пермский МО ,Пожары на объектах сельскохозяйственного назначения ,2015-04-05 18:33:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-04-06 08:35:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-04-06 13:25:00
Пермский ГО ,Пожары повышенного номера ,2015-04-06 16:26:00
