Район,Тип,Дата и время  пожара 
Чусовской ГО ,Происшествия на водных объектах ,2019-07-21 08:00:00
Чусовской ГО ,Происшествия на водных объектах ,2019-07-22 08:00:00
Кунгурский МО ,Происшествия на водных объектах ,2019-07-23 08:00:00
Пермский ГО ,Сильный туман ,2019-07-24 14:00:00
Лысьвенский ГО ,Происшествия на водных объектах ,2019-07-26 08:00:00
Пермский ГО ,Происшествия на водных объектах ,2019-07-26 08:00:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-07-26 14:00:00
Оханский ГО ,Происшествия на водных объектах ,2019-07-29 08:00:00
Чусовской ГО ,Происшествия на водных объектах ,2019-07-30 08:00:00
Кунгурский МО ,Происшествия на водных объектах ,2019-07-31 08:00:00
ГО город Кизел ,Пожар с гибелью 2-х и более человек ,2019-08-02 23:36:00
Пермский МО ,"Зажор, затор, дождевой паводок ",2019-08-03 00:00:00
Пермский ГО ,"Зажор, затор, дождевой паводок ",2019-08-03 00:00:00
Чайковский ГО ,Происшествия на водных объектах ,2019-08-03 08:00:00
Чайковский ГО ,Происшествия на водных объектах ,2019-08-03 08:00:00
Ильинский ГО ,"Зажор, затор, дождевой паводок ",2019-08-03 10:00:00
Добрянский ГО ,"Зажор, затор, дождевой паводок ",2019-08-03 15:00:00
Нытвенский ГО ,Переувлажнение почвы ,2019-08-03 15:00:00
Пермский ГО ,Сильный ветер ,2019-08-06 19:00:00
Краснокамский ГО ,Переувлажнение почвы ,2019-08-07 00:00:00
Верещагинский ГО ,Переувлажнение почвы ,2019-08-07 00:00:00
Пермский МО ,Переувлажнение почвы ,2019-08-07 00:00:00
Большесосновский МО ,Переувлажнение почвы ,2019-08-08 00:00:00
Соликамский ГО ,Происшествия на водных объектах ,2019-08-08 08:00:00
Бардымский МО ,Переувлажнение почвы ,2019-08-09 08:00:00
Соликамский ГО,Происшествия на водных объектах ,2019-08-12 08:00:00
Гайнский МО,Сильный дождь ,2019-08-12 12:00:00
Уинский МО ,Переувлажнение почвы ,2019-08-13 08:00:00
Пермский ГО ,Загрязнения окружающей среды ,2019-08-13 16:30:00
Пермский ГО ,Происшествия на водных объектах ,2019-08-14 08:00:00
Оханский ГО ,Происшествия на водных объектах ,2019-08-14 08:00:00
Ординский МО ,Переувлажнение почвы ,2019-08-14 08:00:00
Частинский МО ,Переувлажнение почвы ,2019-08-15 00:00:00
Очерский ГО ,Переувлажнение почвы ,2019-08-15 12:00:00
Юсьвинский МО ,Переувлажнение почвы ,2019-08-16 00:00:00
Ильинский ГО ,Переувлажнение почвы ,2019-08-16 00:00:00
Куединский МО ,Переувлажнение почвы ,2019-08-16 00:00:00
Чайковский ГО ,Переувлажнение почвы ,2019-08-16 00:00:00
Кунгурский МО ,Происшествия на водных объектах ,2019-08-16 08:00:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-08-17 17:14:00
Сивинский МО,Переувлажнение почвы ,2019-08-19 15:00:00
Кунгурский МО ,Происшествия на водных объектах ,2019-08-22 08:00:00
Чернушинский ГО ,Переувлажнение почвы ,2019-08-23 00:00:00
Пермский ГО ,Переувлажнение почвы ,2019-08-23 00:00:00
Добрянский ГО ,Происшествия на водных объектах ,2019-08-24 08:00:00
Сивинский МО,Происшествия на водных объектах ,2019-08-27 08:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-08-28 11:35:00
Кунгурский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-08-31 16:20:00
Пермский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-08-31 22:00:00
Ильинский ГО ,Происшествия на водных объектах ,2019-09-01 08:00:00
Березники ГО ,Происшествия на водных объектах ,2019-09-04 08:00:00
Суксунский ГО ,Происшествия на водных объектах ,2019-09-05 08:00:00
Чусовской ГО ,Происшествия на водных объектах ,2019-09-06 08:00:00
Частинский МО ,Происшествия на водных объектах ,2019-09-07 08:00:00
Чердынский ГО ,Происшествия на водных объектах ,2019-09-11 08:00:00
Пермский ГО ,Загрязнения окружающей среды ,2019-09-16 00:00:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-09-16 20:00:00
Чернушинский ГО ,Переувлажнение почвы ,2019-09-23 00:00:00
Чернушинский ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2019-09-23 04:00:00
Соликамский ГО ,Происшествия на водных объектах ,2019-09-23 08:00:00
Еловский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-09-25 15:10:00
Кочевский МО ,Пожар с гибелью 2-х и более человек ,2019-09-26 17:10:00
Кунгурский МО ,Происшествия на водных объектах ,2019-10-01 08:00:00
Кунгурский МО ,Происшествия на водных объектах ,2019-10-01 08:00:00
Частинский МО ,Аварии на электроэнергетических системах ,2019-10-01 20:45:00
Юсьвинский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-10-04 13:15:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-10-04 21:58:00
Горнозаводский ГО ,Пожар с гибелью 2-х и более человек ,2019-10-05 06:02:00
Горнозаводский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-10-05 18:00:00
Осинский ГО ,Взрыв газа ,2019-10-06 19:49:00
Осинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-10-08 23:50:00
Кунгурский МО ,Пожары повышенного номера ,2019-10-10 14:15:00
Добрянский ГО ,Происшествия на водных объектах ,2019-10-12 08:00:00
Добрянский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-10-13 19:10:00
Осинский ГО ,Происшествия на водных объектах ,2019-10-15 08:00:00
Суксунский ГО ,Происшествия на водных объектах ,2019-10-16 08:00:00
Александровский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-10-20 21:40:00
Пермский ГО ,Пожары повышенного номера ,2019-10-22 01:09:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-10-22 13:10:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-10-23 09:00:00
Добрянский ГО ,Пожары повышенного номера ,2019-10-24 00:00:00
Ильинский ГО ,Загрязнения окружающей среды ,2019-10-24 16:20:00
Ординский МО ,Происшествия на водных объектах ,2019-10-26 08:00:00
Чайковский ГО ,Происшествия на водных объектах ,2019-10-28 08:00:00
Пермский МО ,"Авиационные катастрофы, аварии в аэропортах, в населённых пунктах ",2019-10-28 10:05:00
Соликамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-10-28 12:10:00
Пермский ГО ,Аварии на электроэнергетических системах ГВС,2019-10-28 13:30:00
Соликамский ГО ,Происшествия на водных объектах ,2019-10-29 08:00:00
Чусовской ГО ,"Внезапное обрушение зданий, сооружений, пород ",2019-10-29 09:30:00
Чернушинский ГО ,Загрязнения окружающей среды ,2019-10-30 14:15:00
Пермский МО ,Происшествия на водных объектах ,2019-11-01 08:00:00
Лысьвенский ГО ,Пожар с гибелью 2-х и более человек ,2019-11-03 16:15:00
Большесосновский МО ,Происшествия на водных объектах ,2019-11-04 08:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-11-05 20:00:00
Пермский ГО ,Пожары повышенного номера ,2019-11-06 02:40:00
Кудымкарский МО ,"Зажор, затор, дождевой паводок ",2019-11-07 12:00:00
Краснокамский ГО ,Пожары повышенного номера ,2019-11-08 08:15:00
Пермский МО ,"Зажор, затор, дождевой паводок ",2019-11-08 15:35:00
Березники ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-11-09 12:20:00
Березники ГО ,Происшествия на водных объектах ,2019-11-12 08:00:00
Юсьвинский МО ,"Внезапное обрушение зданий, сооружений, пород ",2019-11-16 10:54:00
Чайковский ГО ,Обнаружение (утрата) источников ионизирующих ядерных установок ,2019-11-16 12:54:00
Добрянский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-11-16 18:15:00
Пермский ГО ,Инфекционные заболевания людей невыясненной этиологии ,2019-11-17 15:10:00
Нытвенский ГО ,Происшествия на водных объектах ,2019-11-19 08:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2019-11-27 15:00:00
Добрянский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-11-29 16:55:00
Кудымкарский МО ,Происшествия на водных объектах ,2019-12-02 08:00:00
Краснокамский ГО ,Аварии на очистных сооружениях ,2019-12-02 21:20:00
Соликамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-03 09:30:00
Кунгурский МО ,Пожары на объектах торговли ,2019-12-03 13:00:00
Осинский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-04 20:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2019-12-06 00:00:00
Пермский ГО ,Происшествия на водных объектах ,2019-12-07 08:00:00
Пермский ГО ,Отрыв прибрежных льдин ,2019-12-07 18:35:00
Добрянский ГО ,Пожар с гибелью 2-х и более человек ,2019-12-08 01:56:00
Нытвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-10 00:26:00
Пермский ГО ,Пожары повышенного номера ,2019-12-12 19:57:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2019-12-17 23:00:00
Пермский ГО ,Происшествия на водных объектах ,2019-12-18 08:00:00
Александровский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-18 15:05:00
Очерский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-18 18:30:00
Пермский ГО ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2019-12-22 21:10:00
Очерский ГО ,Пожар с гибелью 2-х и более человек ,2019-12-23 09:27:00
Пермский ГО ,Пожары повышенного номера ,2019-12-23 11:04:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-23 13:15:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2019-12-23 13:35:00
Кишертский МО,Крушение поезда ,2019-12-23 14:17:00
Нытвенский ГО ,Загрязнения окружающей среды ,2019-12-28 19:28:00
Пермский ГО ,Происшествия на водных объектах ,2019-12-30 08:00:00
Большесосновский МО ,Пожар с гибелью 2-х и более человек ,2020-01-01 16:33:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-01-02 12:00:00
Пермский ГО ,Пожары повышенного номера ,2020-01-08 22:57:00
Краснокамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-01-10 12:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-12 13:00:00
Карагайский МО ,Пожар с гибелью 2-х и более человек ,2020-01-13 05:45:00
Березовский МО ,Пожар с гибелью 2-х и более человек ,2020-01-14 18:50:00
Нытвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-01-16 15:30:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2020-01-18 02:15:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-01-20 05:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-23 10:30:00
Верещагинский ГО ,Аварии на электроэнергетических системах ,2020-01-23 12:24:00
Бардымский МО ,Аварии на электроэнергетических системах ,2020-01-23 20:10:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-24 15:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-01-25 10:13:00
Добрянский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-01-25 18:37:00
Нытвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-01-26 09:00:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2020-01-27 08:25:00
Пермский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-01-27 18:34:00
Губахинский ГО ,Аварии на электроэнергетических системах Теплоснабжение,2020-01-28 00:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-28 11:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-28 13:00:00
Пермский ГО ,Пожары повышенного номера ,2020-01-28 16:10:00
Гайнский МО,Аварии на электроэнергетических системах ,2020-01-29 03:00:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2020-01-29 10:02:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-01-31 08:00:00
Березники ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-01-31 09:23:00
Пермский ГО ,Отравления людей ,2020-02-01 00:00:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-01 10:55:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2020-02-02 03:53:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-02 08:05:00
Губахинский ГО ,Аварии на электроэнергетических системах ,2020-02-02 14:40:00
Горнозаводский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-02 15:00:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-02 17:54:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-03 10:30:00
Кунгурский МО ,"Внезапное обрушение зданий, сооружений, пород ",2020-02-04 00:00:00
Губахинский ГО ,Аварии на электроэнергетических системах ,2020-02-04 06:06:00
Карагайский МО ,Аварии на электроэнергетических системах ,2020-02-04 14:20:00
Кунгурский МО ,Аварии на электроэнергетических системах ,2020-02-04 17:58:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2020-02-04 21:40:00
Нытвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-05 08:25:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2020-02-05 11:20:00
Верещагино ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-05 14:55:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-05 20:25:00
Пермский МО ,Аварии на электроэнергетических системах ,2020-02-07 01:30:00
Чернушинский ГО ,Пожар с гибелью 2-х и более человек ,2020-02-07 01:32:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-07 06:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ГВС,2020-02-07 10:36:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-09 10:00:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-11 11:20:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2020-02-12 01:54:00
Ильинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-12 05:25:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-14 19:48:00
Частинский МО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2020-02-14 22:00:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-15 07:09:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-17 09:04:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-17 19:20:00
Ильинский ГО ,Аварии на электроэнергетических системах ,2020-02-17 23:14:00
Еловский МО ,Аварии на электроэнергетических системах ,2020-02-18 08:05:00
Кунгурский МО ,Пожары повышенного номера ,2020-02-18 14:47:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2020-02-19 02:26:00
Чусовской ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-02-19 07:30:00
Пермский ГО ,Пожары повышенного номера ,2020-02-20 07:45:00
Верещагинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-21 08:50:00
Кизеловский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-24 15:20:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-02-25 16:30:00
Горнозаводский ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2020-02-25 21:15:00
Большесосновский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-02-26 10:40:00
Кудымкарский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-03-01 19:00:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2020-03-20 12:35:00
Кочевский МО ,Происшествия на водных объектах ,2020-03-24 08:00:00
Верещагинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-03-24 09:10:00
Частинский МО ,Загрязнения окружающей среды ,2020-03-25 07:58:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-03-28 10:15:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-04-01 16:00:00
Губахинский ГО ,Аварии на электроэнергетических системах ,2020-04-01 16:22:00
Уинский МО ,Аварии на электроэнергетических системах ,2020-04-01 17:17:00
Еловский МО ,Происшествия на водных объектах ,2020-04-08 08:00:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-04-08 23:00:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-04-10 18:05:00
Чернушинский ГО ,Происшествия на водных объектах ,2020-04-14 08:00:00
Кунгурский МО ,Половодье ,2020-04-15 00:00:00
Пермский МО ,Половодье ,2020-04-19 00:00:00
Александровский МО ,Половодье ,2020-04-19 00:00:00
Кишертский МО ,Половодье ,2020-04-21 13:00:00
Гайнский МО ,Половодье ,2020-04-21 18:30:00
Пермский МО ,Происшествия на водных объектах ,2020-04-22 08:00:00
Гайнский МО,Половодье ,2020-04-23 00:00:00
Чусовской ГО ,Половодье ,2020-04-23 00:00:00
Лысьвенский ГО ,Половодье ,2020-04-23 00:00:00
Кунгурский МО ,Половодье ,2020-04-24 00:00:00
Кишертский МО ,Половодье ,2020-04-24 15:00:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2020-04-25 04:20:00
Куединский МО ,Аварии на электроэнергетических системах ,2020-04-25 18:20:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2020-04-25 19:48:00
Бардымский МО ,Аварии на электроэнергетических системах ,2020-04-25 20:09:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2020-04-25 21:05:00
Кунгурский МО ,Аварии на электроэнергетических системах ,2020-04-25 21:05:00
Пермский ГО ,Сильный ветер ,2020-04-26 17:00:00
Березники ГО ,"Внезапное обрушение зданий, сооружений, пород ",2020-04-26 21:10:00
Гайнский МО,Половодье ,2020-04-27 00:00:00
Пермский МО ,Половодье ,2020-04-29 00:00:00
Гайнский МО ,Половодье ,2020-04-30 00:00:00
Пермский МО ,Половодье ,2020-05-03 00:00:00
Гайнский МО ,Половодье ,2020-05-06 16:00:00
Чусовской ГО ,Половодье ,2020-05-07 00:00:00
Пермский МО ,Загрязнения окружающей среды ,2020-05-07 13:20:00
Чайковский ГО ,Загрязнения окружающей среды ,2020-05-07 14:05:00
Александровский МО ,Половодье ,2020-05-07 15:00:00
Чусовской ГО ,Половодье ,2020-05-08 08:10:00
Губахинский ГО ,Половодье ,2020-05-08 16:00:00
Александровский МО ,Половодье ,2020-05-08 18:00:00
Березники ГО ,Половодье ,2020-05-09 00:00:00
Пермский МО ,Половодье ,2020-05-09 00:00:00
Гайнский МО ,Половодье ,2020-05-09 18:00:00
Красновишерский ГО ,Половодье ,2020-05-10 00:00:00
Гайнский МО,Половодье ,2020-05-10 09:00:00
Пермский МО ,Половодье ,2020-05-11 09:00:00
Красновишерский ГО ,Половодье ,2020-05-12 00:00:00
Чусовской ГО ,Половодье ,2020-05-12 09:00:00
Соликамский ГО ,Половодье ,2020-05-12 10:00:00
Чердынский ГО ,Половодье ,2020-05-13 00:00:00
Чердынский ГО ,Половодье ,2020-05-13 00:00:00
Чердынский ГО ,Половодье ,2020-05-13 00:00:00
Красновишерский ГО ,Половодье ,2020-05-13 00:00:00
Чердынский ГО ,Половодье ,2020-05-14 00:00:00
Чайковский ГО ,Половодье ,2020-05-15 00:00:00
Чайковский ГО ,Половодье ,2020-05-16 00:00:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-05-27 08:30:00
Кишертский МО,Аварии на электроэнергетических системах ,2020-05-27 13:45:00
Верещагинский ГО ,Аварии на электроэнергетических системах ,2020-05-27 16:55:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2020-05-31 13:06:00
Суксунский ГО ,Аварии на электроэнергетических системах ,2020-05-31 20:09:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-05-31 23:15:00
Верещагинский ГО ,Аварии на электроэнергетических системах ,2020-06-01 01:12:00
Оханский ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2020-06-03 12:59:00
Суксунский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-04 09:48:00
Гайнский МО,Аварии на электроэнергетических системах ,2020-06-04 15:58:00
Чайковский ГО ,Пожар с гибелью 2-х и более человек ,2020-06-06 21:53:00
Нытвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-08 08:48:00
Кунгурский МО ,Загрязнения окружающей среды ,2020-06-10 15:00:00
Карагайский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-06-12 09:55:00
Добрянский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-12 10:27:00
Верещагинский ГО ,Аварии на электроэнергетических системах ,2020-06-12 14:05:00
Краснокамский ГО ,Загрязнения окружающей среды ,2020-06-15 09:40:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-18 05:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-30 10:18:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-06-30 21:30:00
Краснокамский ГО ,Пожары повышенного номера ,2020-06-30 23:43:00
Чернушинский ГО ,Загрязнения окружающей среды ,2020-07-04 00:00:00
Куединский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-07-07 08:30:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-07-07 11:00:00
Уинский МО ,Аварии на электроэнергетических системах ,2020-07-07 13:50:00
Березники ГО ,Загрязнения окружающей среды ,2020-07-08 19:00:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2020-07-12 00:07:00
Березники ГО ,Пожар с гибелью 2-х и более человек ,2020-07-19 04:40:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-07-29 20:30:00
Добрянский ГО ,Загрязнения окружающей среды ,2020-07-29 22:55:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-07-30 00:00:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2020-07-30 04:03:00
Нытвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-07-30 14:50:00
Пермский ГО ,Пожары на объектах торговли ,2020-07-30 17:36:00
Нытвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2020-08-01 08:21:00
Пермский ГО ,Пожары на объектах торговли ,2020-08-27 09:10:00
Чусовской ГО ,"Внезапное обрушение зданий, сооружений, пород ",2020-09-07 15:49:00
Пермский ГО ,Загрязнения окружающей среды ,2020-09-09 13:48:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2020-09-11 04:48:00
Березники ГО ,Загрязнения окружающей среды ,2020-09-13 23:50:00
Лысьвенский ГО ,Пожар с гибелью 2-х и более человек ,2020-09-17 23:53:00
Пермский ГО ,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2020-09-18 01:35:00
Пермский ГО ,Сильный дождь ,2020-09-19 14:00:00
Пермский ГО ,Заморозки ,2020-09-21 11:35:00
Чернушинский ГО ,Пожар с гибелью 2-х и более человек ,2020-09-24 11:30:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-09-27 15:00:00
Кунгурский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2020-09-28 14:55:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-10-06 10:00:00
Чернушинский ГО ,Аварии на внутрипромысловых нефтепроводах ,2020-10-07 09:00:00
Чердынский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2020-10-07 17:59:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2020-10-08 18:35:00
Куединский МО ,"Аварии на магистральных газо-, нефте-, продукто-проводах Канализации",2020-10-11 07:07:00
Чернушинский ГО ,Аварии на внутрипромысловых нефтепроводах ,2020-10-16 08:43:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-10-19 16:15:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-10-20 09:50:00
Березники ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-10-24 01:45:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2020-10-26 23:23:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2020-10-28 00:36:00
Чернушинский ГО ,Аварии на коммунальных системах жизнеобеспечения ГВС,2020-11-08 13:20:00
Кудымкарский МО ,Пожар с гибелью 2-х и более человек ,2020-11-08 17:19:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-11-15 07:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-15 07:40:00
Соликамский ГО ,Массовая гибель рыб ,2020-11-17 00:00:00
Добрянский ГО ,Пожар с гибелью 2-х и более человек ,2020-11-17 06:21:00
Суксунский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-23 09:00:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-11-23 09:30:00
Чусовской ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-23 09:48:00
Кудымкарский МО ,Особо опасные болезни сельскохозяйственных животных ,2020-11-24 09:30:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-27 09:32:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-27 16:30:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-27 16:40:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2020-11-27 20:40:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2020-11-30 13:31:00
Пермский ГО ,Пожары повышенного номера ,2020-12-03 07:20:00
